Name;Sector;Ticker;Country
Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.;Electric Utilities;TRAN.BA;Argentina
Cisco Systems, Inc.;Communication Equipment;CSCO.BA;Argentina
Sociedad Comercial del Plata S.A.;Conglomerates;COME.BA;Argentina
Banco Hipotecario S.A.;Money Center Banks;BHIP.BA;Argentina
Rigolleau S.A.;Personal Products;RIGO.BA;Argentina
Ledesma Sociedad Anónima Agrícola Industrial;Farm Products;LEDE.BA;Argentina
Grupo Clarín S.A.;Entertainment - Diversified;GCLA.BA;Argentina
Molinos Rio de la Plata S.A.;Food - Major Diversified;MOLI.BA;Argentina
Transportadora de Gas del Norte S.A.;Gas Utilities;TGNO4.BA;Argentina
The Home Depot, Inc.;Home Improvement Stores;HD.BA;Argentina
Ferrum Sociedad Anonima de Ceramica y Metalurgia;General Building Materials;FERR.BA;Argentina
S.A. San Miguel A.G.I.C.I. y F.;Farm Products;SAMI.BA;Argentina
Molinos Juan Semino S.A.;Farm Products;SEMI.BA;Argentina
The Coca-Cola Company;Beverages - Soft Drinks;KO.BA;Argentina
Kimberly-Clark Corporation;Personal Products;KMB.BA;Argentina
Newmont Mining Corporation;Gold;NEM.BA;Argentina
NIKE, Inc.;Textile - Apparel Footwear & Accessories;NKE.BA;Argentina
Banco Santander Rio S.A.;Money Center Banks;BRIO6.BA;Argentina
Banco Santander Rio S.A.;Money Center Banks;BRIO.BA;Argentina
Agrometal S.A.I.;Farm & Construction Machinery;AGRO.BA;Argentina
Consultatio S.A.;Property Management;CTIO.BA;Argentina
QUALCOMM Incorporated;Semiconductor - Broad Line;QCOM.BA;Argentina
VALE S.A. CEDEAR;Financial Services;VALE.BA;Argentina
TGLT S.A.;Property Management;TGLT.BA;Argentina
AT&T Inc.;Wireless Communications;T.BA;Argentina
Wal-Mart Stores, Inc.;Discount, Variety Stores;WMT.BA;Argentina
The Walt Disney Company;Entertainment - Diversified;DISN.BA;Argentina
Garovaglio y Zorraquín S.A.;Conglomerates;GARO.BA;Argentina
Apple Inc.;Electronic Equipment;AAPL.BA;Argentina
